9	11	11	27	2	3	4	4	4	4	4	4	4	4	31	31	29	29	29	29	29	4	3	7	7	7	7	7	29	29	29	8	29	30	30	31	29	30	30	31	29	29	29	30	31	29	29	32	30	30	30	30	30	30	31	31	29	31	31	31	
2	3	3	3	3	7	5	5	7	7	8	7	7	7	7	7	7	29	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	29	29	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30	30	30	30	29	8	30	31	28	31	
3	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	29	7	7	29	29	29	29	7	7	7	29	29	29	29	29	7	29	7	8	8	29	29	29	29	29	30	30	30	30	30	30	30	30	30	30	30	30	30	31	31	4	4	
3	3	3	3	4	29	7	7	7	7	7	7	7	29	29	29	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	30	30	30	30	30	30	30	8	8	30	30	29	30	30	30	30	29	29	29	31	30	30	30	31	31	31	30	29	30	
29	29	29	7	7	29	30	30	8	29	29	7	7	7	7	7	8	29	30	30	30	30	29	29	29	30	30	30	30	30	30	30	30	30	30	4	29	30	30	31	31	29	29	31	30	30	30	30	32	31	30	30	29	4	29	29	29	31	31	4	
2	25	2	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	29	29	29	29	29	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	30	29	29	7	8	29	30	29	29	29	29	29	29	29	30	30	30	29	
3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	7	7	7	29	29	29	29	4	4	29	4	4	4	29	
1	3	3	3	3	3	3	3	3	3	3	3	3	7	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	29	29	29	30	30	29	29	30	29	29	31	30	30	30	30	29	31	31	30	29	30	31	31	30	
1	2	3	3	3	3	3	3	7	3	7	7	3	7	7	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	29	29	29	29	30	29	29	31	31	30	30	30	
3	3	3	3	3	3	7	7	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	8	29	8	8	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	29	4	7	7	29	
10	2	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	29	8	29	29	29	29	8	8	29	29	30	30	30	30	30	30	30	29	30	30	30	30	29	30	29	30	30	30	29	29	29	29	4	29	29	29	29	29	29	4	4	4	4	
11	3	3	3	3	3	3	7	7	29	29	7	7	29	29	29	29	29	30	30	30	29	30	30	30	30	30	29	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29	29	29	29	31	30	29	30	30	29	29	
2	3	3	4	7	5	5	3	7	7	7	29	29	7	29	8	29	29	29	29	29	30	29	29	30	30	30	30	30	29	30	29	29	30	30	30	30	30	30	29	30	30	30	30	29	29	30	29	29	8	30	30	30	30	30	30	29	31	32	30	
27	2	2	3	3	5	3	7	7	7	7	7	7	7	7	29	29	7	29	29	29	7	7	7	7	7	7	7	8	8	29	29	29	29	29	30	30	30	29	29	29	8	29	29	29	29	30	29	8	8	29	29	29	4	4	29	29	29	29	29	
27	2	3	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	29	29	29	29	29	29	29	7	4	4	7	29	29	4	4	4	4	4	29	4	7	7	4	4	29	29	
9	27	27	4	3	3	3	7	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	29	7	8	8	29	29	29	29	29	29	29	30	29	29	30	30	30	29	8	8	30	30	30	29	29	30	29	30	29	
2	27	3	3	3	1	1	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	7	7	29	29	29	30	29	29	29	29	8	8	30	30	29	29	4	31	30	29	30	30	29	4	
3	3	3	3	3	3	3	3	3	3	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	29	7	7	7	7	7	29	29	29	29	30	30	29	29	29	30	29	29	29	30	30	30	30	29	29	29	29	
1	2	1	3	1	1	3	3	5	7	7	7	7	7	7	7	29	8	8	29	29	7	29	29	7	7	7	7	8	8	30	30	30	29	8	29	29	29	30	30	30	30	30	30	30	30	29	4	29	29	29	29	30	30	29	31	30	31	31	31	
10	27	4	3	3	3	7	7	3	7	7	4	29	29	29	7	29	29	29	29	7	7	7	8	7	7	7	29	29	29	29	29	29	29	8	8	29	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	29	29	29	30	29	4	7	4	
